Comando,NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN,TitleProd,URLProd,VendaConjunta,MetaDescriptionProd,IDsFiltroItem
A,Notebook,5166471,5166471,"Notebook Acer E5-573G-74Q5 15,6"" Core i7 5500U 8Gb 1Tb W10H 64 bits","0,02",<!--PREC-->,<!--ALL NATIONS-->,,False,10,0,True,1.12,3753.9712,4204.447744,4016.75,0,0,,,False,True,5166471_1.jpg,"5166471_1.jpg,5166471_2.jpg,5166471_3.jpg,5166471_4.jpg","5166471_1.jpg,5166471_2.jpg,5166471_3.jpg,5166471_4.jpg",94004,60070,48470,Acer,NX.G5RAL.006,S - SE - CO - NE,,0,,577,"Notebook Acer,Notebook",,0,0,,Frames/5166471.htm,"Notebook Acer, Acer E5-573G-74Q5, Core i7 5500U, NX.G5RAL.006,",12,12,04713392253324,True,True,0,0,0,,E5-573G-74Q5,,notebook-acer-e5-573g-74q5-15-6-core-i7-5500u-8gb-1tb-w10h-64-bits,,,
A,Notebook,5285811,5285811,"Notebook Acer E5-574-307M 15,6"" i3-6100U 4Gb 1Tb W10 Nx.Garal.002","0,02",<!--PREC-->,<!--MAZER-->,,False,17,0,True,1.12,2480.45,2778.104,2721.83,0,0,,,False,True,5285811_1.jpg,"5285811_1.jpg,5285811_2.jpg,5285811_3.jpg,5285811_4.jpg","5285811_1.jpg,5285811_2.jpg,5285811_3.jpg,5285811_4.jpg",94004,60070,48470,Acer,Nx.Garal.002,S - SE - CO - NE,,0,,577,,,0,0,,Frames/5285811.htm,"Notebook Acer, Notebook E5, Notebook core i3,",12,12,04713392476488,True,True,0,0,0,,E5-574-307M,,notebook-acer-e5-574-307m-15-6--4gb-1tb-w10-nx-garal-002-44199771,,,
A,Notebook,5294012,5294012,"Notebook Acer Es1-431-p0v7 14"" Q4 N3700 4Gb 500Gb W10 Nx.Garal.002","0,02",<!--PREC-->,<!--ALL NATIONS-->,,False,10,0,True,1.12,1964.3737,2200.098544,2101.88,0,0,,,False,True,5294012_1.jpg,"5294012_1.jpg,5294012_2.jpg,5294012_3.jpg","5294012_1.jpg,5294012_2.jpg,5294012_3.jpg",94004,60068,48470,Acer,Nx.G94Al.002,S - SE - CO - NE,,0,,577,,,0,0,,Frames/5294012.htm,"Notebook Acer, Notebook Acer Es, Acer Es, Es1-431-p0v7, Nx.G94Al.002,",12,12,04713392301148,True,True,0,0,0,,Nx.G94Al.002,"Notebook Acer Es1-431-p0v7 14"" Q4 N3700",notebook-acer-es1-431-p0v7-14--q4-n3700-4gb-500gb-w10-nx-garal-002-62470645,,,
A,Notebook,4418113,4418113,"Notebook Asus K555Lb 15,6"" Core i5 5200U 8Gb 500Gb W10 Home","0,02",<!--PREC-->,<!--NETWORK1-->,,False,3,0,True,1.12,3624.9,4059.888,3878.64,0,0,,,False,True,4418113_1.jpg,"4418113_1.jpg,4418113_2.jpg,4418113_3.jpg","4418113_1.jpg,4418113_2.jpg,4418113_3.jpg",94004,60071,48470,Asus,K555LB-BRA-DM451T,S - SE - CO - NE,,0,,577,,,0,0,,Frames/4418113.htm,,12,12,04712900202168,True,True,0,0,0,,K555Lb,,,,,
A,Notebook,5134702,5134702,"Notebook Asus PU401LA 14"" Core i7-4500U 6Gb 500Gb W8 Pro","0,02",<!--PREC-->,<!--HOUTER-->,,False,3,0,True,1.12,3297.34,3693.0208,3528.15,0,0,,,False,True,5134702_1.jpg,"5134702_1.jpg,5134702_2.jpg,5134702_3.jpg","5134702_1.jpg,5134702_2.jpg,5134702_3.jpg",94004,60067,48470,Asus,PU401LA-WO075P,S - SE - CO - NE,,0,,577,,,0,0,,Frames/5134702.htm,,12,12,07898570000000,True,True,0,0,0,,PU401LA-WO075P,,notebook-asus-pu401la-14-core-i7-4500u-6gb-500gb-w8-pro,,,
A,Notebook,5292244,5292244,"Notebook Asus X555lf 15,6"" Core I5 5200u  6Gb 1Tb 2gb W10H",,<!--PREC-->,,,False,,0,False,1.12,,,3487.06,0,0,,,False,True,5292244_1.jpg,"5292244_1.jpg,5292244_2.jpg,5292244_3.jpg,5292244_4.jpg,5292244_5.jpg,5292244_6.jpg","5292244_1.jpg,5292244_2.jpg,5292244_3.jpg,5292244_4.jpg,5292244_5.jpg,5292244_6.jpg",94004,,48470,Asus,90NB08H2-M06260,,,0,,577,,,0,0,,Frames/5292244.htm,"Notebook Asus X555lf, Notebook i5, Notebook Gamer,",12,12,07898573293690,True,True,0,0,0,,X555lf-bra-xx429t,"Notebook Asus X555lf 15,6"" I5 5200u 6Gb 1Tb",notebook-asus-x555lf-15-6--core--153--i5-5200u--6gb-1tb-2gb-w10h-9412784,,,
A,Notebook,4418109,4418109,"Notebook Asus X555LF 15,6"" Core i7 5500U  6Gb 1Tb W10 Home","0,02",<!--PREC-->,<!--NETWORK1-->,,False,6,0,True,1.12,4185.9,4688.208,4478.91,0,0,,,False,True,4418109_1.jpg,"4418109_1.jpg,4418109_2.jpg,4418109_3.jpg,4418109_4.jpg","4418109_1.jpg,4418109_2.jpg,4418109_3.jpg,4418109_4.jpg",94004,60071,48470,Asus,X555LF-BRA-XX190T,S - SE - CO - NE,,0,,577,"Notebook Asus,",,0,0,,Frames/4418109.htm,,12,12,07898573293294,True,True,0,0,0,,X555LF,,,,,
A,Notebook,4830352,4830352,"Notebook Asus X751lj 17,3"" Core I5 5200u 8Gb 1Tb Gt920m 2gb W10",,<!--PREC-->,,,False,,0,False,1.12,,,3984.57,0,0,,,False,True,4830352_1.jpg,"4830352_1.jpg,4830352_2.jpg,4830352_3.jpg","4830352_1.jpg,4830352_2.jpg,4830352_3.jpg",94004,,48470,Asus,X751lj-ty171t,,,0,,577,"Notebook Asus,",,0,0,,Frames/4830352.htm,,12,12,07898573293324,True,True,0,0,0,,X751lj,,,,,
A,Notebook,5092671,5092671,"Notebook Dell 3450 14"" Série 3000 I5-5200U 4Gb 500Gb W8Pro Dg7",,<!--PREC-->,,,False,,0,False,1.12,,,0,0,0,,,False,True,5092671_1.jpg,"5092671_1.jpg,5092671_2.jpg,5092671_3.jpg","5092671_1.jpg,5092671_2.jpg,5092671_3.jpg",94004,,48470,Dell,210-Aczo-Lati5-4-500,,,0,,577,Notebook Dell,,0,0,,Frames/5092671.htm,Notebook Dell 3450 14'' I5-5200U 4Gb 500Gb W8Pro Dg7,12,12,07899864905803,True,True,0,0,0,,210-Aczo-Lati5-4-500,,notebook-dell-3450-14-serie-3000-i5-5200u-4gb-500gb-w8pro-dg7,,,
A,Notebook,4031073,4031073,Notebook Dell 5250 12'' I5-5300U 4Gb 500Gb W8P Dg7,"0,02",<!--PREC-->,<!--INGRAM-->,,False,14,0,True,1.12,4512.04,5053.4848,5324.2,0,0,,,False,True,4031073_1.jpg,"4031073_1.jpg,4031073_2.jpg,4031073_3.jpg","4031073_1.jpg,4031073_2.jpg,4031073_3.jpg",94004,60067,48470,Dell,210-Actx-Lati5-4-500,S - SE - CO - NE,,0,,577,Notebook Dell,,0,0,,Frames/4031073.htm,"Notebook, Dell, Latitude 5250, 12',' I5-5300U, 4Gb, 500Gb, W8P Dg7, Laptop,",12,12,00884116154853,True,True,0,0,0,,210-Actx-Lati5-4-500,,notebook-dell-5250-12-i5-5300u-4gb-500gb-w8p-dg7,,,
