Comando,NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN,TitleProd,URLProd,VendaConjunta,MetaDescriptionProd,IDsFiltroItem
"A","Access Point",4418044,"4418044","Access Point Aruba 300Mbps Iap-205-Rw",0,"","","",False,0,0,False,1.12,0,0,4221.69,0,0,,,False,True,"4418044_1.jpg","4418044_1.jpg","4418044_1.jpg","94004","","48470","Aruba","Iap-205-Rw","","",0,,601,"Access Point Aruba",,0,0,,"Frames/4418044.htm","",12,12,"00882658434945",True,True,0,0,0,"","Iap-205-Rw","","","","",""
"A","Access Point",5126692,"5126692","Access Point Aruba Iap-103 802.11A/B/G/N Wireless Iap-103-Rw",0,"","","",False,0,0,False,1.12,0,0,2360.14,0,0,,,False,True,"5126692_1.jpg","5126692_1.jpg","5126692_1.jpg","94004","","48470","Aruba","Iap-103-Rw","","",0,,601,"Access Point Aruba",,0,0,,"Frames/5126692.htm","",12,12,"",True,True,0,0,0,"","Iap-103-Rw","","access-point-aruba-iap-103-802-11a-b-g-n-wireless-iap-103-rw","","",""
"A","Access Point",5126758,"5126758","Access Point Aruba Iap-215 802.11Na C/ Wireless Iap-215-Rw",0,"","","",False,0,0,False,1.12,0,0,6069.88,0,0,,,False,True,"5126758_1.jpg","5126758_1.jpg","5126758_1.jpg","94004","","48470","Aruba","IAP-215-RW","","",0,,601,"Access Point Aruba",,0,0,,"Frames/5126758.htm","",12,12,"",True,True,0,0,0,"","IAP-215-RW","","access-point-aruba-iap-215-802-11na-c-dual-radio-wireless-iap-215-rw","","",""
"A","Access Point",5349569,"5349569","Access Point Aruba Pd-3501G/Ac Gigabit Poe",0.02,"<!--PREC--><!--Z00M--> O Acess Point Aruba Pd-3501G/Ac oferece uma solução compacta e de baixo custo.
Com a instalação plug-and-play do midspan ele aproveita a ethernet existente.
","<!--NETWORK1-->","",False,100,0,True,0,538.42,635.34,635.34,0,0,,,False,True,"5349569_1.jpg","5349569_1.jpg","5349569_1.jpg","94004","60072","48470","Aruba","Pd-3501G/Ac","S - SE - CO - NE","",0,,601,"Access Point Aruba",,0,0,,"Frames/5349569.htm","",12,12,"00844117001389",True,True,0,0,0,"","Pd-3501G/Ac","Access Point Aruba Pd-3501G/Ac Gigabit Poe","access-point-aruba-pd-3501g-ac-gigabit-poe-99901980","","",""
"A","Access Point",4549402,"4549402","Access Point Cisco 1600 C/ Antenas Int. Airsap1602I-Tk9Br=",0,"A série Aironet 1600 oferece uma excelente performance a um preço acessível. 
","","",False,0,0,False,1.12,0,0,1177.47,0,0,,,False,True,"4549402_1.jpg","4549402_1.jpg","4549402_1.jpg","94004","","48470","Cisco","Airsap1602I-Tk9Br=","","",252,,601,"Access Point Cisco",,0,0,,"Frames/4549402.htm","access point, access point cisco, access point cisco 1600, access point sem fio, access point wireless",12,12,"00882658687860",True,True,0,0,0,"","Airsap1602I-Tk9Br=","Access Point Cisco 1600 com Antenas Internas","access-point-cisco-1600-c-antenas-internas-airsap1602i-tk9br-","","ferece conexões sem fio seguro e confiável. Chipsets de classe empresarial e rádios otimizados, entregam uma experiência robusta. * FRETE GRÁTIS!",""
"A","Access Point",4549403,"4549403","Access Point Cisco 1600 Saida Antena Ext. Airsap1602E-Tk9Br=",0,"","","",False,0,0,False,1.12,0,0,0,0,0,,,False,True,"4549403_pr.jpg","4549403_det.jpg","4549403_amp.jpg","94004","","48470","Cisco","Airsap1602E-Tk9Br=","","",0,,601,"Access Point Cisco",,0,0,,"Frames/4549403.htm","",12,12,"",True,True,0,0,0,"","Airsap1602E-Tk9Br=","","access-point-cisco-1600-c-saida-para-antena-externa-airsap1602e-tk9br-","","",""
"A","Access Point",4549404,"4549404","Access Point Cisco 1602E Aironet Aircap1602E-Tk9Br=",0,"Com este poderoso Acess Point da Cisco, tire proveito da função Dual band 2,4 e 5 Ghz. Com suporte de até 128 dispositivos conectados use ao máximo sua rede.
","","",False,0,0,False,1.12,0,0,1693.63,0,0,,,False,True,"4549404_1.jpg","4549404_1.jpg","4549404_1.jpg","94004","","48470","Cisco","Aircap1602E-Tk9Br=","","",255,,601,"Access Point Cisco",,0,0,,"Frames/4549404.htm","access point, access ponit cisco, access point aironet, access point 1602e, access point cisco aironet",12,12,"00882658686832",True,True,0,0,0,"","Aircap1602E-Tk9Br=","Access Point Cisco 1602E Aironet Aircap1602E","access-point-cisco-1602e-aironet-aircap-1602e","5292149","O Cisco Aironet 1600 possui ponto de acesso 802.11n projetado para atender às necessidades de conectividade sem fio. * FRETE GRÁTIS!!!",""
"A","Access Point",4713744,"4713744","Access Point Cisco 1602I Aironet Air-Cap1602I-T-K9",0,"","","",False,0,0,False,1.12,0,0,0,0,0,,,False,True,"4713744_pr.jpg","4713744_det.jpg,4713744_det2.jpg","4713744_amp.jpg,4713744_amp2.jpg","94004","","48470","Cisco","Air-Cap1602I-T-K9","","",0,,601,"Access Point Cisco",,0,0,,"Frames/4713744.htm","",12,12,"",True,True,0,0,0,"","Air-Cap1602I-T-K9","","access-point-cisco-1602i-aironet-802-11-a-g-n-air-cap1602i-t-k9","","",""
"A","Access Point",4713743,"4713743","Access Point Cisco 1602I Aironet Aircap1602I-Tk9Br=",0,"","","",False,0,0,False,1.12,0,0,1677.22,0,0,,,False,True,"4713743_pr.jpg","4713743_det.jpg,4713743_det2.jpg","4713743_amp.jpg,4713743_amp2.jpg","94004","","48470","Cisco","Aircap1602I-Tk9Br=","","",0,,601,"Access Point Cisco",,0,0,,"Frames/4713743.htm","access point cisco,router cisco,linksys cisco,cisco wireless,cisco wifi,wifi cisco,wireless cisco",12,12,"00882658688232",True,True,0,0,0,"","Aircap1602I-Tk9Br=","Access Point Cisco 1602I Aironet Aircap1602I-Tk9Br=","access-point-cisco-1602i-aironet-aircap1602i-tk9br-","","Dual band (2,4 e 5,8 GHz), Padrão Wireless IEEE 802.11n 300 Mbit/s, Tecnologia Clean Air, 3x3 multiple-input multiple-output (MIMO) e FRETE GRÁTIS!!",""
"A","Access Point",3290039,"3290039","Access Point Cisco 1700 Series Aironet Poe+ Ieee 802.11Ac",0.02,"<!--PREC--><!--Z00M-->","<!--ALCATEIA-->","",False,15,0,True,0,1334.7,1574.95,1574.95,0,0,,,False,True,"3290039_1.jpg","3290039_1.jpg,3290039_2.jpg","3290039_1.jpg,3290039_2.jpg","94004","60067","48470","Cisco","AIRCAP1702I-ZK9BR=","S - SE - CO - NE","",0,,16,"Access Point Cisco",,0,0,,"Frames/3290039.htm","",12,12,"03614957670796",True,True,0,0,0,"","AIRCAP1702I-ZK9BR=","Access Point Cisco 1700 Series Aironet Poe+ Ieee 802.11Ac","access-point-cisco-1700-series-aironet-poe-ieee-802-11ac","","",""
